lambda,Trans5mm,Alpha
298.5915493,0.349152542,210.4492736
300,0.362711864,202.8293044
301.4084507,0.383050847,191.9175075
302.8169014,0.408474576,179.0651207
304.2253521,0.434745763,166.5987745
305.6338028,0.457627119,156.3401156
307.0422535,0.48220339,145.8778567
308.4507042,0.502542373,137.6150637
309.8591549,0.522033898,130.0045508
311.2676056,0.540677966,122.9862868
312.6760563,0.558474576,116.5092366
314.084507,0.576271186,110.2353839
315.4929577,0.595762712,103.5825651
316.9014085,0.613559322,97.69566501
318.3098592,0.629661017,92.51473455
319.7183099,0.642372881,88.51726636
321.1267606,0.645762712,87.46463235
322.5352113,0.638983051,89.57546989
323.943662,0.630508475,92.24573653
325.3521127,0.615254237,97.14394053
326.7605634,0.605084746,100.477351
328.1690141,0.600847458,101.8828382
329.5774648,0.611016949,98.52611603
330.9859155,0.63220339,91.70882345
332.3943662,0.661864407,82.53891352
333.8028169,0.690677966,74.01632084
335.2112676,0.716036506,66.80482549
336.6197183,0.733050847,62.10804211
338.028169,0.739830508,60.26683232
339.4366197,0.741525424,59.80916622
340.8450704,0.741525424,59.80916622
342.2535211,0.740677966,60.03786836
343.6619718,0.708474576,68.92822088
345.0704225,0.620303916,95.50914684
346.4788732,0.534763988,125.1859548
347.8873239,0.425423729,170.9339196
349.2957746,0.362711864,202.8293044
350.7042254,0.373728814,196.8449684
352.1126761,0.387288136,189.7172653
353.5211268,0.369306626,199.2256033
354.9295775,0.355084746,207.0797595
356.3380282,0.392584746,187.0005705
357.7464789,0.48220339,145.8778567
359.1549296,0.596610169,103.2982723
360.5633803,0.710169492,68.4503234
361.971831,0.775423729,50.86913044
363.3802817,0.811864407,41.6843879
364.7887324,0.828813559,37.55200948
366.1971831,0.83559322,35.92267257
367.6056338,0.839830508,34.91103663
369.0140845,0.841525424,34.50781068
370.4225352,0.844067797,33.90449198
371.8309859,0.845762712,33.50328823
373.2394366,0.849152542,32.70328716
374.6478873,0.850847458,32.30448344
376.056338,0.853389831,31.70776495
377.4647887,0.855084746,31.31093942
378.8732394,0.854237288,31.50925377
380.2816901,0.853389831,31.70776495
381.6901408,0.854237288,31.50925377
383.0985915,0.856779661,30.91489969
384.5070423,0.860169492,30.1251652
385.915493,0.861864407,29.73146428
387.3239437,0.863559322,29.33853685
388.7323944,0.86440678,29.14236224
390.1408451,0.866101695,28.75058934
391.5492958,0.866949153,28.5549903
392.9577465,0.866949153,28.5549903
394.3661972,0.868644068,28.16436518
395.7746479,0.869491525,27.96933835
397.1830986,0.870338983,27.77450151
398.5915493,0.870338983,27.77450151
400,0.870338983,27.77450151
401.4084507,0.870338983,27.77450151
402.8169014,0.870338983,27.77450151
404.2253521,0.871186441,27.57985429
405.6338028,0.872881356,27.19112725
407.0422535,0.872881356,27.19112725
408.4507042,0.872033898,27.38539633
409.8591549,0.872881356,27.19112725
411.2676056,0.873728814,26.99704669
412.6760563,0.873728814,26.99704669
414.084507,0.872881356,27.19112725
415.4929577,0.870338983,27.77450151
416.9014085,0.866949153,28.5549903
418.3098592,0.865254237,28.94637986
419.7183099,0.863559322,29.33853685
421.1267606,0.863559322,29.33853685
422.5352113,0.86440678,29.14236224
423.943662,0.86779661,28.35958237
425.3521127,0.863559322,29.33853685
426.7605634,0.841525424,34.50781068
428.1690141,0.811864407,41.6843879
429.5774648,0.793220339,46.3308482
430.9859155,0.788135593,47.61702626
432.3943662,0.813559322,41.2672866
433.8028169,0.829661017,37.34761499
435.2112676,0.846610169,33.30298776
436.6197183,0.861864407,29.73146428
438.028169,0.871186441,27.57985429
439.4366197,0.873728814,26.99704669
440.8450704,0.873728814,26.99704669
442.2535211,0.873728814,26.99704669
443.6619718,0.873728814,26.99704669
445.0704225,0.873728814,26.99704669
446.4788732,0.873728814,26.99704669
447.8873239,0.872881356,27.19112725
449.2957746,0.869491525,27.96933835
450.7042254,0.863559322,29.33853685
452.1126761,0.855084746,31.31093942
453.5211268,0.844915254,33.7037895
454.9295775,0.833050847,36.53211946
456.3380282,0.819491525,39.8142444
457.7464789,0.806779661,42.94093653
459.1549296,0.797457627,45.26531557
460.5633803,0.788983051,47.40208804
461.971831,0.786440678,48.04759693
463.3802817,0.788983051,47.40208804
464.7887324,0.790677966,46.97290332
466.1971831,0.794067797,46.11728704
467.6056338,0.792372881,46.54463763
469.0140845,0.784745763,48.47909656
470.4225352,0.778813559,49.99671902
471.8309859,0.772881356,51.52594548
473.2394366,0.773728814,51.30676737
474.6478873,0.76779661,52.84608228
476.056338,0.757627119,55.51278846
477.4647887,0.750847458,57.31055337
478.8732394,0.766101695,53.28807141
480.2816901,0.787288136,47.83219573
481.6901408,0.816101695,40.64326113
483.0985915,0.837288136,35.51740394
484.5070423,0.851694915,32.10537939
